customer_id,first_name,last_name,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,sex,age
1,Laraine,Medendorp,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,F,63
2,Eli,Bockman,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,M,36
3,Arlin,Dearle,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,M,62
4,Talbot,,33,1961-10-03,,IT,Mass Customer,N,No,7.0,M,55
5,Sheila-kathryn,Calton,56,1977-05-13,Senior Editor,,Affluent Customer,N,Yes,8.0,F,39
6,Curr,Duckhouse,35,1966-09-16,,Retail,High Net Worth,N,Yes,13.0,M,50
7,Fina,Merali,6,1976-02-23,,Financial Services,Affluent Customer,N,Yes,11.0,F,40
8,Rod,Inder,31,1962-03-30,Media Manager I,,Mass Customer,N,No,7.0,M,54
9,Mala,Lind,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0,F,43
10,Fiorenze,Birdall,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0,F,28
11,Uriah,Bisatt,99,1954-04-30,,Property,Mass Customer,N,No,9.0,M,62
12,Sawyere,Flattman,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,M,22
13,Gabriele,Norcross,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8.0,M,61
14,Rayshell,Kitteman,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,6.0,F,33
15,Erroll,Radage,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1.0,M,16
16,Harlin,Parr,38,1977-02-27,Media Manager IV,,Mass Customer,N,Yes,18.0,M,39
17,Heath,Faraday,57,1962-03-19,Sales Associate,,Affluent Customer,N,Yes,15.0,M,54
18,Marjie,Neasham,79,1967-07-06,Professor,,Affluent Customer,N,No,11.0,F,49
19,Sorcha,Keyson,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0,F,15
20,Basile,Firth,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,11.0,M,36
21,Mile,Cammocke,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0,M,36
22,Deeanne,Durtnell,79,1962-12-10,,IT,Mass Customer,N,No,11.0,F,54
23,Olav,Polak,43,1995-02-10,,,High Net Worth,N,Yes,1.0,M,21
24,Kim,Skpsey,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0,F,39
25,Geoff,Assaf,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0,M,40
26,Trixi,Ginnelly,12,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,16.0,F,38
27,Garvin,Klees,37,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12.0,M,38
28,Fee,Zellmer,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0,M,43
29,Mona,Sancraft,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0,F,48
30,Darrick,Helleckas,18,1961-10-18,,IT,Affluent Customer,N,Yes,6.0,M,55
31,Star,Praton,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0,F,54
32,Marion,Vanichkin,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,F,21
33,Ernst,Hacon,44,1957-06-25,Product Engineer,,Affluent Customer,N,Yes,11.0,M,59
34,Jephthah,Bachmann,59,,Legal Assistant,IT,Affluent Customer,N,No,20.0,U,
35,Margaretha,Strettle,40,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,16.0,F,53
36,Lurette,Stonnell,33,1977-11-09,VP Quality Control,,Affluent Customer,N,No,22.0,F,39
37,Laurie,Dwerryhouse,46,1985-12-22,Social Worker,Health,High Net Worth,N,No,16.0,F,31
38,Cordi,Merman,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0,F,61
39,Hunfredo,Smalley,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0,M,37
40,Tomasine,Jerche,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0,F,35
41,Basilius,Coupe,64,1976-04-14,Food Chemist,Health,Mass Customer,N,No,16.0,M,40
42,Chiquita,Durnall,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,18.0,F,39
43,Indira,Belt,38,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,5.0,F,33
44,Neron,Verick,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0,M,35
45,Trace,Woodhead,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0,M,41
46,Kaila,Allin,98,1972-02-26,,,Affluent Customer,N,Yes,15.0,F,44
47,Matthew,Jeaycock,51,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,2.0,M,24
